Property	Label
P19	place of birth
P17	country
P27	country of citizenship
P495	country of origin
P131	located in the administrative territorial entity
P1532	country for sport
P3842	located in present-day administrative territorial entity
P361	part of
P1269	facet of
P183	endemic to
